# PV Battery SOFC TANK energy_deficit Energy_loss System_cost CF
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.114135134003510757e+03 4.175103016370797377e+03 1.208400000000000000e+05 1.375520270100526686e+05
-1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 2.545771599959493415e+03 2.901962999469980105e+02 4.588000000000000000e+04 8.406657399939239258e+04
0.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 2.184234305739190859e+03 2.158900193209468398e+03 5.116000000000000000e+04 8.392351458608786925e+04
1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 2.006814313740895841e+03 4.333352187028077424e+03 5.644000000000000000e+04 8.654221470611344557e+04
-1.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 2.414210937099373950e+03 2.362132339359970103e+02 5.788000000000000000e+04 9.409316405649061198e+04
0.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 2.007298878509490805e+03 2.056594659787531782e+03 6.316000000000000000e+04 9.326948317764236708e+04
1.000000000000000000e+00 0.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 1.803362710623520570e+03 4.197701260913931947e+03 6.844000000000000000e+04 9.549044065935281105e+04
-1.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 2.296040672020068541e+03 1.924228222659229743e+02 6.988000000000000000e+04 1.043206100803010340e+05
0.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 1.846667107390758247e+03 2.019231737512261589e+03 7.516000000000000000e+04 1.028600066108613682e+05
1.000000000000000000e+00 1.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00 1.615105196028198861e+03 4.153561441604926586e+03 8.044000000000000000e+04 1.046665779404229834e+05
-1.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 2.145989489346704431e+03 9.322309945589994129e+01 7.108000000000000000e+04 1.032698423402005574e+05
0.000000000000000000e+00 -1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.594204012613860186e+03 1.692497015333507306e+03 7.636000000000000000e+04 1.002730601892078994e+05
